gland_id,area_pixels,perimeter_pixels,width_pixels,height_pixels,aspect_ratio,circularity,centroid_x,centroid_y
1,1214.0,153.25483322143555,35,51,1.457142857142857,0.6495314602835227,13.299835255354202,20.442339373970345
2,7922.0,615.3696193695068,126,114,1.105263157894737,0.26288911186430464,171.00732138348903,54.27063872759404
3,54.0,25.313708186149597,9,8,1.125,1.058990551471789,46.629629629629626,33.611111111111114
4,53.0,25.899494767189026,7,10,1.4285714285714286,0.9928946011707963,105.26415094339623,34.886792452830186
5,2340.0,214.12488996982574,42,78,1.8571428571428572,0.6413445607260791,15.435042735042735,129.50726495726497
6,129.0,42.627416491508484,15,13,1.1538461538461537,0.8921164546097893,52.651162790697676,98.2015503875969
7,106.0,36.97056245803833,13,11,1.1818181818181819,0.9745488506113613,186.80188679245282,111.76415094339623
8,421.0,86.42640602588654,26,28,1.0769230769230769,0.7082703356309088,192.39667458432305,127.78859857482185
9,841.0,134.8111822605133,27,46,1.7037037037037037,0.5815057655898084,243.61593341260405,184.05945303210464
10,2884.0,297.90663492679596,78,61,1.278688524590164,0.4083614792684509,86.06588072122052,217.54299583911234
11,303.0,71.0121922492981,19,26,1.368421052631579,0.7550690207035025,168.21782178217822,208.82508250825083
